s1,s2,s3,s4,s5,s6,label
-3880,-52.0,16876.0,276.0,38.0,-217,idle
-3872,-128.0,16900.0,293.0,44.0,-210,idle
-3864,-128.0,16864.0,269.0,74.0,-211,idle
-3856,-104.0,16836.0,268.0,35.0,-198,idle
-3912,-80.0,16892.0,260.0,38.0,-203,idle
-3864,-136.0,16956.0,261.0,31.0,-241,idle
-3888,-52.0,16916.0,302.0,86.0,-211,idle
-3784,-104.0,16876.0,295.0,32.0,-168,idle
-3840,-188.0,16804.0,311.0,-20.0,-192,idle
-3984,-108.0,16792.0,274.0,24.0,-203,idle
-4000,-112.0,16996.0,260.0,110.0,-168,idle
-3944,-108.0,16960.0,294.0,73.0,-210,idle
-3812,-136.0,17040.0,263.0,52.0,-193,idle
-3952,-120.0,17008.0,286.0,42.0,-211,idle
-3888,-80.0,16980.0,295.0,37.0,-197,idle
-3824,-76.0,16828.0,273.0,20.0,-209,idle
-3892,-172.0,16900.0,274.0,17.0,-230,idle
-3888,-92.0,16952.0,302.0,45.0,-205,idle
-3856,-76.0,16972.0,309.0,25.0,-203,idle
-3860,-36.0,16808.0,300.0,26.0,-199,idle
-3868,-112.0,16844.0,298.0,47.0,-211,idle
-3888,-80.0,16916.0,321.0,91.0,-232,idle
-3812,-80.0,16856.0,292.0,45.0,-207,idle
-3896,-112.0,16988.0,293.0,71.0,-192,idle
-3856,-100.0,17088.0,256.0,72.0,-222,idle
-3952,-168.0,16876.0,307.0,66.0,-191,idle
-3904,-140.0,16908.0,299.0,17.0,-228,idle
-3880,-60.0,16892.0,290.0,29.0,-221,idle
-3852,-24.0,16972.0,290.0,23.0,-191,idle
-3908,-144.0,16896.0,274.0,-1.0,-203,idle
-3888,-64.0,16964.0,304.0,28.0,-196,idle
-3900,-152.0,16816.0,295.0,63.0,-184,idle
-3940,-160.0,16980.0,284.0,41.0,-195,idle
-3892,-44.0,16920.0,268.0,69.0,-198,idle
-3872,-76.0,16844.0,317.0,30.0,-222,idle
-3916,-60.0,16940.0,284.0,79.0,-203,idle
-3876,-100.0,16900.0,299.0,100.0,-208,idle
-3888,-132.0,16948.0,269.0,46.0,-207,idle
-3856,-152.0,16848.0,289.0,57.0,-211,idle
-3816,-108.0,16908.0,290.0,78.0,-199,idle
-3868,-144.0,17028.0,296.0,44.0,-192,idle
-3892,-152.0,16900.0,287.0,34.0,-224,idle
-3876,-76.0,16872.0,281.0,47.0,-186,idle
-3880,-124.0,16992.0,293.0,68.0,-216,idle
-3944,-20.0,16940.0,299.0,49.0,-215,idle
-3904,-128.0,16860.0,278.0,78.0,-206,idle
-3772,-84.0,16968.0,278.0,39.0,-191,idle
-3848,-88.0,16844.0,294.0,70.0,-184,idle
-3900,-104.0,17000.0,267.0,93.0,-202,idle
-3856,-48.0,16916.0,277.0,61.0,-214,idle
-3916,-136.0,16844.0,275.0,47.0,-172,idle
-3912,-124.0,16884.0,279.0,67.0,-198,idle
-3944,-80.0,16920.0,294.0,63.0,-199,idle
-3812,-44.0,16960.0,261.0,48.0,-210,idle
-3876,-140.0,16980.0,275.0,46.0,-211,idle
-3852,-108.0,16956.0,288.0,45.0,-197,idle
-3892,-104.0,17000.0,312.0,19.0,-210,idle
-3856,-104.0,16844.0,270.0,30.0,-225,idle
-3788,-132.0,16908.0,261.0,46.0,-179,idle
-3840,-60.0,16964.0,250.0,52.0,-180,idle
-3884,-124.0,16968.0,272.0,36.0,-191,idle
-3924,-112.0,16956.0,291.0,86.0,-231,idle
-3864,-148.0,17052.0,274.0,81.0,-238,idle
-3860,-108.0,16968.0,280.0,53.0,-222,idle
-3844,-52.0,16920.0,298.0,43.0,-209,idle
-3884,-120.0,16924.0,291.0,76.0,-182,idle
-3816,-140.0,17064.0,287.0,51.0,-193,idle
-3880,-116.0,16972.0,278.0,27.0,-198,idle
-3808,-152.0,16860.0,296.0,40.0,-165,idle
-3876,-160.0,16920.0,282.0,3.0,-191,idle
-3840,-108.0,16872.0,281.0,43.0,-202,idle
-3864,-108.0,16912.0,320.0,17.0,-219,idle
-3880,-120.0,16924.0,287.0,46.0,-194,idle
-3920,-108.0,16900.0,313.0,65.0,-213,idle
-3856,-92.0,16944.0,320.0,72.0,-214,idle
-3856,-120.0,16980.0,300.0,66.0,-246,idle
-3840,-104.0,16860.0,296.0,72.0,-201,idle
-3888,-100.0,17008.0,305.0,40.0,-199,idle
-3896,-96.0,16972.0,273.0,61.0,-209,idle
-3880,-120.0,16848.0,282.0,77.0,-211,idle
-3888,-88.0,16940.0,294.0,63.0,-184,idle
-3808,-76.0,16912.0,257.0,24.0,-174,idle
-3880,-100.0,16944.0,254.0,56.0,-208,idle
-3844,-84.0,16948.0,316.0,16.0,-210,idle
-3860,-68.0,16840.0,288.0,1.0,-199,idle
-3840,-48.0,16932.0,285.0,46.0,-179,idle
-3888,-152.0,16960.0,285.0,42.0,-186,idle
-3860,-140.0,16924.0,292.0,47.0,-190,idle
-3796,-124.0,16988.0,284.0,47.0,-217,idle
-3800,-124.0,16976.0,286.0,78.0,-205,idle
-3908,-168.0,17036.0,296.0,41.0,-193,idle
-3884,-164.0,16964.0,272.0,46.0,-197,idle
-3856,-180.0,16936.0,302.0,41.0,-193,idle
-3832,-104.0,16924.0,300.0,36.0,-193,idle
-3840,-116.0,16880.0,273.0,39.0,-175,idle
-3900,-88.0,16968.0,259.0,25.0,-227,idle
-3856,-60.0,16940.0,256.0,61.0,-203,idle
-3800,-76.0,16856.0,297.0,71.0,-208,idle
-3848,-84.0,16880.0,285.0,60.0,-186,idle
-3784,-92.0,16920.0,293.0,95.0,-209,idle
-3820,-100.0,16844.0,307.0,65.0,-211,idle
-3832,-128.0,16880.0,285.0,70.0,-210,idle
-3812,-72.0,16828.0,279.0,81.0,-219,idle
-3840,-56.0,16952.0,273.0,43.0,-205,idle
-3872,-160.0,16928.0,249.0,73.0,-201,idle
-3880,-84.0,16876.0,280.0,68.0,-237,idle
-3848,-180.0,16960.0,282.0,31.0,-190,idle
-3888,-88.0,17052.0,277.0,5.0,-199,idle
-3916,-152.0,16896.0,273.0,56.0,-213,idle
-3932,-136.0,17008.0,286.0,56.0,-191,idle
-3936,-152.0,16956.0,291.0,29.0,-202,idle
-3844,-124.0,16908.0,266.0,52.0,-202,idle
-3864,-88.0,16868.0,280.0,51.0,-217,idle
-3876,-96.0,16868.0,281.0,58.0,-211,idle
-3884,-120.0,16988.0,286.0,55.0,-213,idle
-3888,-100.0,16928.0,286.0,43.0,-205,idle
-3844,-24.0,16896.0,264.0,48.0,-216,idle
-3900,-104.0,16980.0,260.0,31.0,-210,idle
-3864,-112.0,16904.0,274.0,20.0,-210,idle
-3892,-136.0,16972.0,265.0,49.0,-216,idle
-3868,-120.0,16932.0,276.0,70.0,-195,idle
-3816,-128.0,16996.0,278.0,43.0,-219,idle
-3904,-72.0,16928.0,259.0,33.0,-187,idle
-3924,-108.0,16832.0,295.0,57.0,-224,idle
