s1,s2,s3,s4,s5,s6,label
7392,3464,21256,27370,16507,-15763,shake
7188,-516,23676,17631,17284,4040,shake
5440,312,27984,6014,7908,15883,shake
1220,5020,29708,-11463,1753,25744,shake
-6892,7300,25784,-28255,-832,26227,shake
-9224,5956,20504,-32768,-5103,19369,shake
-10112,4932,15588,-32768,-7853,11062,shake
-11864,3560,10064,-26727,-10037,1070,shake
-1,-1,-1,-1,-1,-1,shake
-12824,2924,5780,0,0,0,shake
-1,-1,-1,-1,-1,-1,shake
144,4216,11740,29299,3655,-32768,shake
6792,2644,18828,27872,13948,-18390,shake
12704,-1236,23300,19076,16537,2575,shake
8360,-236,27460,6870,10972,23317,shake
-120,3792,28260,-8055,2574,31674,shake
-7396,5604,25476,-22426,123,27420,shake
-11368,4828,19620,-30668,-1646,17771,shake
-12072,2908,12824,-27922,-4310,4056,shake
-9836,2360,8664,-16533,-5738,-7004,shake
-9324,1952,7312,-1542,-5994,-16235,shake
-8672,2496,7760,14775,-6949,-25537,shake
-5836,4184,11132,26984,-5062,-32631,shake
1516,4900,17012,29163,1059,-31550,shake
6520,2508,22176,21791,8251,-17082,shake
7372,1332,22432,12696,10618,-552,shake
5432,1668,23092,3509,7860,13752,shake
2572,2452,24012,-5173,820,20435,shake
0,3616,23232,-14967,-882,25163,shake
-5320,4004,20112,-21097,-2026,22614,shake
-7396,3428,17308,-21666,-5544,14461,shake
-6896,2524,14888,-18110,-7638,6715,shake
-8384,1256,11820,-10554,-8088,-1608,shake
-10660,1088,10624,-170,-8567,-13516,shake
-10748,2656,9708,11366,-9502,-27345,shake
-5836,5868,11468,20339,-6407,-32768,shake
36,7376,15448,23901,1378,-32768,shake
7832,3180,19068,21443,10385,-26094,shake
14080,-516,21868,14526,16842,-4284,shake
12760,1032,25988,3708,14307,20267,shake
5520,5164,27588,-9886,6044,32767,shake
-2412,7328,24928,-22426,704,32222,shake
-9004,6196,20532,-29305,-4329,24383,shake
-11076,3900,15104,-28554,-5749,11523,shake
-10648,1968,10052,-19930,-5778,-2025,shake
-8812,1936,7108,-5630,-5499,-13962,shake
-6292,2876,7468,10734,-3987,-22663,shake
-2692,3484,11228,21814,518,-26598,shake
688,2952,15028,26533,5974,-23622,shake
5720,2208,19832,23752,12853,-13034,shake
6372,1480,22600,15201,16043,2332,shake
4220,2284,23852,4988,13278,14011,shake
2088,3832,24028,-5329,8151,20604,shake
968,4616,22516,-14589,5024,24601,shake
-996,5016,20320,-22263,6133,27508,shake
-2368,4532,17068,-25120,7166,27582,shake
-5572,2912,14880,-21462,4070,23123,shake
-8000,864,13904,-13794,208,15530,shake
-10932,672,12796,-6357,-1974,5584,shake
-13304,1428,10832,2872,-7000,-8683,shake
-13196,2548,10524,14168,-13330,-24187,shake
-9756,5264,11124,23157,-18289,-32768,shake
-4456,8704,13288,26578,-13301,-32768,shake
3584,7700,16904,24772,-1216,-32768,shake
10060,3260,20228,18425,11466,-19551,shake
11300,1688,22208,10279,18199,4499,shake
6464,3156,25368,-537,13110,19420,shake
2680,5596,27516,-14001,6420,26179,shake
-1976,6288,24588,-27508,4217,29346,shake
-6320,5568,19004,-32768,2402,24289,shake
-8192,4092,15252,-30861,-1753,14126,shake
-7932,2344,12092,-24157,-2562,5445,shake
-1,-1,-1,-1,-1,-1,shake
-1,-1,-1,-1,-1,-1,shake
-11060,1760,8636,11465,-9134,-29000,shake
-7080,4852,10392,0,0,0,shake
-2356,6080,13936,26622,-810,-32768,shake
4500,4176,18216,24949,9413,-28918,shake
8224,1768,21920,17079,18555,-9849,shake
