s1,s2,s3,s4,s5,s6,label
-7624,5960,19100,32767,-7266,3489,tilt
-8244,6976,24080,32767,-6293,2608,tilt
-7324,5272,21852,20655,-5321,1840,tilt
-7520,4560,16224,12703,-5990,1474,tilt
-6260,4484,12860,13897,-6638,1169,tilt
-5904,4992,11956,19228,-8151,2166,tilt
-5760,5952,15100,21152,-6731,2035,tilt
-7096,6796,20924,14936,-4961,598,tilt
-7824,7160,26048,-2753,-840,-3291,tilt
-5328,7444,26468,-29293,3174,-6340,tilt
-5372,8816,23932,-32768,8462,-7606,tilt
-3988,8328,17504,-32768,13508,-6762,tilt
-5944,2216,1096,-32768,6869,-2990,tilt
-5568,-8892,-12668,-1700,-13180,2188,tilt
-3736,-3700,-4092,32767,-20575,2268,tilt
-2508,11836,12368,32767,-9439,4763,tilt
-6776,17580,25888,32767,3562,6926,tilt
-10072,13496,31744,32767,3668,3780,tilt
-7356,11116,31224,9694,2090,-341,tilt
-4516,14388,27872,-32768,7744,-2478,tilt
-6164,16692,21364,-32768,18399,-6119,tilt
-6052,13644,13792,-32768,25339,-11091,tilt
-5272,8036,1156,-32768,21884,-11167,tilt
-4540,-1992,-13668,-19191,1523,-4439,tilt
-2896,-5508,-11280,32767,-25285,5494,tilt
-1852,8876,6868,32767,-20021,8486,tilt
-4320,16788,22624,32767,-7618,12360,tilt
-11092,14132,32700,32767,-5226,8167,tilt
-1,-1,-1,-1,-1,-1,tilt
-4188,13764,28324,-32768,6822,-5112,tilt
-6600,15836,20824,-32768,21698,-6219,tilt
-6872,13564,2952,-32768,14804,-8316,tilt
-4060,1788,-15224,-19991,1863,-4969,tilt
-2448,-1056,-10888,32767,-21106,3076,tilt
-2304,11576,9304,32767,-16428,8729,tilt
-6112,20268,25124,32767,-4782,11730,tilt
-10460,16836,32092,32767,-6611,7278,tilt
-6124,13568,31928,-3030,-1485,174,tilt
-5264,16576,26308,-32768,13834,-3562,tilt
-5388,18232,15680,-32768,24234,-8593,tilt
-6728,12144,-11992,-32768,7479,-7159,tilt
-1824,-1948,-18108,18224,-20205,-318,tilt
-2092,9468,3648,32767,-19044,5259,tilt
-9388,19596,30872,32767,-4919,4514,tilt
-7560,15328,32767,18475,-3843,-2797,tilt
-1428,16252,31172,-32768,8665,-4989,tilt
-4556,20692,23304,-32768,15854,-4152,tilt
-7084,19880,12288,-32768,21163,-10952,tilt
-4552,13200,-1320,-32768,15219,-11170,tilt
-4920,4148,-4016,-32768,19058,-12376,tilt
-5324,-4320,-6892,-12875,2494,-9764,tilt
-4008,-8864,-6432,31911,-19121,-618,tilt
-2388,-1392,4140,32767,-24011,6609,tilt
668,9076,15404,32767,-21101,13494,tilt
-3280,17004,19936,32767,-20500,18455,tilt
-5128,21924,23048,32767,-14060,14162,tilt
-6104,20952,26276,32767,-999,7777,tilt
-7704,17516,28828,32767,5293,1397,tilt
-5456,16916,26372,-12898,9222,-5294,tilt
-6380,21292,19716,-32768,17533,-10193,tilt
-5948,21332,15544,-32768,21340,-14857,tilt
-5356,19232,8220,-32768,16071,-18293,tilt
-1940,12852,-124,-32768,13110,-14383,tilt
-1716,-552,-18312,-27903,-7111,-1702,tilt
-1632,-5360,-15636,32767,-25904,5345,tilt
-152,14792,6888,32767,-14552,6479,tilt
-1,-1,-1,-1,-1,-1,tilt
-6572,18468,29472,0,0,0,tilt
-8200,14728,32164,17511,-7056,8041,tilt
-5492,17068,30184,-28500,2917,-2682,tilt
-5256,23128,24044,-32768,17123,-10787,tilt
-5132,23124,15276,-32768,20737,-15420,tilt
-4716,17132,5864,-32768,17594,-15533,tilt
-1992,7128,-4396,-32768,19256,-11316,tilt
-4500,-7928,-18952,551,-6840,1064,tilt
-2292,-2432,-10320,32767,-18675,7250,tilt
-1008,18296,10280,32767,-13825,11964,tilt
-1860,25516,23084,32767,-8064,18701,tilt
-7332,21868,27464,32767,-10326,20431,tilt
-9212,18300,29892,31711,-7930,11214,tilt
-6036,17036,29932,-12446,3871,-1496,tilt
-4168,21492,24496,-32768,16319,-10815,tilt
-5824,24544,16884,-32768,23751,-18236,tilt
-5036,21428,8524,-32768,17440,-21391,tilt
-872,11832,188,-32768,20651,-17566,tilt
-1584,-1688,-15404,-30870,7837,-5137,tilt
-2384,-8332,-19308,32767,-18303,8882,tilt
-176,12316,-1020,32767,-15609,13948,tilt
104,27268,16348,32767,-5612,21965,tilt
-4916,25372,22780,32767,-6992,29058,tilt
-8940,21448,27144,32767,-11829,23686,tilt
-8844,19724,28724,3210,-6986,8297,tilt
-3580,23624,24024,-32768,12901,-7892,tilt
-5080,27628,17652,-32768,30505,-22029,tilt
-5048,27228,10024,-32768,23594,-27946,tilt
-2744,18192,1940,-32768,13965,-26238,tilt
12,7020,-7484,-32768,13256,-17675,tilt
-1476,-7632,-18916,3932,-13364,1761,tilt
-2112,-496,-10948,32767,-28588,11670,tilt
240,22264,10040,32767,-20568,14216,tilt
-76,25492,26908,32767,-9295,22238,tilt
-6588,21448,28668,32767,-7366,21475,tilt
-6844,20812,28700,13810,-3727,11006,tilt
-6056,20872,25220,-32768,8059,-3192,tilt
-6148,24740,19516,-32768,21238,-17658,tilt
-5108,24000,12676,-32768,22945,-26650,tilt
-3200,19468,7704,-32768,23250,-28701,tilt
-172,12752,3084,-32768,23097,-24302,tilt
-2220,-1260,-12144,-32768,4773,-8840,tilt
-3236,-11476,-17220,32767,-21673,7549,tilt
-1628,8376,144,32767,-23626,11417,tilt
-1104,24308,18876,32767,-20468,18153,tilt
-2460,24420,26564,32767,-7226,20496,tilt
-7052,19764,25816,32767,-1327,15438,tilt
-9328,17948,26576,8736,-2725,4619,tilt
-8192,18748,25916,-32768,935,-8826,tilt
-6268,23072,19200,-32768,20498,-19597,tilt
-4200,23380,13024,-32768,22539,-24577,tilt
-4052,19188,6444,-32768,18345,-24252,tilt
-132,11240,-3008,-32768,15726,-17301,tilt
-2120,-9412,-20200,-10073,-11806,2734,tilt
-1712,-3996,-14632,32767,-20643,10902,tilt
2316,19288,6488,32767,-21270,17677,tilt
1308,29956,17896,32767,-16919,27430,tilt
-3596,28808,25648,32767,-19578,26567,tilt
-6576,23904,27472,32767,-11396,17223,tilt
-6300,20872,25632,2701,2506,2039,tilt
-6072,22432,21144,-32768,15809,-12023,tilt
-5232,23704,15636,-32768,26701,-24412,tilt
-4160,24060,10276,-32768,21541,-29829,tilt
-1688,22688,9056,-32768,21976,-30543,tilt
848,16724,2728,-32768,23257,-24251,tilt
-436,240,-16440,-32768,-511,-3967,tilt
-2288,-10896,-25272,32767,-23189,12579,tilt
1968,14676,-4772,32767,-26472,19020,tilt
3764,32424,13420,32767,-24793,30164,tilt
-536,32767,21528,32767,-22730,32635,tilt
-4868,28592,24492,32767,-18479,22878,tilt
-8868,20948,29344,27812,-12956,7937,tilt
-4996,22756,29244,-31287,3035,-8952,tilt
-2216,28280,21072,-32768,32767,-21866,tilt
-1136,32412,12568,-32768,32516,-28030,tilt
104,28940,4004,-32768,30971,-29462,tilt
2216,21584,-1012,-32768,28231,-23644,tilt
1464,8248,-20548,-32768,11027,-10544,tilt
-3328,-10584,-32696,32767,-32768,7098,tilt
7012,20652,-3856,32767,-32768,13122,tilt
7552,32767,21732,32767,-32768,18045,tilt
812,32767,29336,32767,-15831,17746,tilt
-2808,25456,27556,32767,-5963,13303,tilt
-4792,19940,24324,24792,3106,3875,tilt
-6012,19004,22856,-21871,10495,-7004,tilt
-5640,26076,15200,-32768,24918,-21104,tilt
-2420,27392,9916,-32768,24858,-30701,tilt
-1204,26776,8348,-32768,22393,-32240,tilt
-752,25944,10192,-32768,24011,-30621,tilt
-1420,19976,6388,-32768,23287,-25874,tilt
1396,7892,-12832,-32768,21077,-15375,tilt
-2588,-18156,-32768,22755,-23657,4333,tilt
3796,6528,-11548,32767,-32768,13995,tilt
5120,32767,17252,32767,-32768,22514,tilt
-216,32767,30444,32767,-22583,17644,tilt
-1880,26984,32344,32767,-7925,12322,tilt
-5472,21444,30484,30798,-3997,6795,tilt
